ProdID,Rating,Text
P7554,2,"Horrível, não recomendo."
P1044,2,Frágil e mal acabado.
P3364,4,"Produto top, cumpre o que promete."
P6305,2,"Péssima qualidade, não funciona direito."
P7395,4,"Excelente produto, super recomendo!"
P5116,2,"Atendimento péssimo, nunca mais."
P3526,2,Frágil e mal acabado.
P9179,2,Dinheiro jogado fora.
P4137,5,"Produto maravilhoso, funcionou perfeitamente."
P3536,4,"Ótimo custo-benefício, comprarei novamente."
P4087,4,Muito bom mesmo!
P3845,5,"Excelente produto, super recomendo!"
P4025,4,"Excelente produto, super recomendo!"
P3027,1,Produto chegou quebrado.
P9209,2,"Horrível, não recomendo."
P6673,1,Decepcionado com a compra.
P8040,5,"Qualidade incrível, entrega rápida."
P5102,5,Gostei demais!
P6147,2,Produto chegou quebrado.
P7700,5,"Excelente produto, super recomendo!"
P2904,5,"Produto top, cumpre o que promete."
P1234,4,Gostei demais!
P9634,2,Produto chegou quebrado.
P3853,5,Gostei demais!
P4704,4,"Produto top, cumpre o que promete."
P9722,2,Produto chegou quebrado.
P4920,1,Produto chegou quebrado.
P7211,1,"Péssima qualidade, não funciona direito."
P5075,4,"Excelente produto, super recomendo!"
P5150,4,"Qualidade incrível, entrega rápida."
P3378,5,"Gostei muito, valeu a pena."
P5195,2,Frágil e mal acabado.
P6446,4,"Nada a reclamar, só elogios."
P2366,5,"Qualidade incrível, entrega rápida."
P6402,5,"Ótimo custo-benefício, comprarei novamente."
P5007,1,"Atendimento péssimo, nunca mais."
P2106,5,Gostei demais!
P8283,2,"Muito ruim, não gostei."
P7978,4,"Excelente produto, super recomendo!"
P5293,4,"Gostei muito, valeu a pena."
P8014,4,Muito bom mesmo!
P7784,1,Produto chegou quebrado.
P5423,5,"Excelente produto, super recomendo!"
P8813,2,Produto chegou quebrado.
P5110,4,"Ótimo custo-benefício, comprarei novamente."
P2633,5,Muito bom mesmo!
P9407,4,"Nada a reclamar, só elogios."
P5118,1,Veio diferente do anúncio.
P5370,2,Produto chegou quebrado.
P6895,4,"Gostei muito, valeu a pena."
P6808,5,"Ótimo custo-benefício, comprarei novamente."
P9055,2,Frágil e mal acabado.
P5101,5,"Produto maravilhoso, funcionou perfeitamente."
P3158,4,"Qualidade incrível, entrega rápida."
P9759,2,"Péssima qualidade, não funciona direito."
P9244,4,"Nada a reclamar, só elogios."
P9546,5,"Excelente produto, super recomendo!"
P1783,4,"Amei esse produto, super útil."
P8469,2,Frágil e mal acabado.
P8420,1,"Atendimento péssimo, nunca mais."
P5459,2,Dinheiro jogado fora.
P8883,1,Decepcionado com a compra.
P2908,2,"Experiência horrível, perdi meu tempo."
P6370,5,"Gostei muito, valeu a pena."
P4809,2,Decepcionado com a compra.
P2117,5,"Gostei muito, valeu a pena."
P7208,4,"Gostei muito, valeu a pena."
P5853,5,"Amei esse produto, super útil."
P3305,5,Muito bom mesmo!
P7043,2,Frágil e mal acabado.
P9179,5,"Ótimo custo-benefício, comprarei novamente."
P3473,5,Muito bom mesmo!
P1624,2,"Péssima qualidade, não funciona direito."
P9514,5,"Gostei muito, valeu a pena."
P7164,5,Gostei demais!
P9104,2,"Muito ruim, não gostei."
P4998,5,"Gostei muito, valeu a pena."
P8345,4,"Gostei muito, valeu a pena."
P6103,1,"Muito ruim, não gostei."
P7898,1,"Muito ruim, não gostei."
P2703,2,Veio diferente do anúncio.
P3576,2,Veio diferente do anúncio.
P3619,2,Produto chegou quebrado.
P7082,4,Gostei demais!
P2218,4,Gostei demais!
P4203,2,Produto chegou quebrado.
